X,Y
415.0,622.0
404.0,644.0
431.0,664.0
437.0,680.0
457.0,657.0
463.0,630.0
460.0,624.0
481.0,628.0
488.0,635.0
497.0,658.0
484.0,680.0
489.0,692.0
504.0,703.0
532.0,698.0
532.0,689.0
543.0,696.0
550.0,664.0
533.0,652.0
516.0,631.0
542.0,612.0
564.0,596.0
585.0,595.0
589.0,611.0
608.0,640.0
605.0,651.0
611.0,656.0
598.0,659.0
578.0,667.0
526.0,732.0
466.0,698.0
474.0,721.0
465.0,737.0
544.0,795.0
549.0,797.0
573.0,754.0
570.0,736.0
596.0,697.0
599.0,697.0
617.0,683.0
604.0,675.0
652.0,639.0
648.0,628.0
680.0,665.0
677.0,691.0
685.0,684.0
708.0,669.0
708.0,646.0
685.0,632.0
680.0,622.0
671.0,614.0
665.0,629.0
646.0,598.0
693.0,576.0
701.0,569.0
720.0,546.0
713.0,525.0
685.0,514.0
691.0,508.0
701.0,499.0
708.0,490.0
724.0,471.0
755.0,474.0
776.0,492.0
772.0,493.0
753.0,520.0
774.0,542.0
765.0,563.0
757.0,580.0
773.0,595.0
789.0,578.0
799.0,574.0
789.0,593.0
802.0,600.0
791.0,607.0
803.0,620.0
808.0,648.0
802.0,654.0
792.0,644.0
788.0,640.0
763.0,641.0
749.0,651.0
772.0,652.0
779.0,668.0
768.0,686.0
729.0,715.0
740.0,714.0
783.0,745.0
844.0,750.0
873.0,757.0
894.0,750.0
935.0,742.0
951.0,670.0
888.0,648.0
885.0,683.0
885.0,686.0
841.0,697.0
828.0,678.0
864.0,621.0
925.0,630.0
929.0,609.0
897.0,575.0
863.0,565.0
841.0,570.0
818.0,511.0
842.0,510.0
879.0,508.0
873.0,501.0
898.0,488.0
905.0,508.0
865.0,516.0
849.0,533.0
881.0,561.0
892.0,550.0
925.0,557.0
942.0,531.0
943.0,549.0
947.0,541.0
954.0,547.0
965.0,534.0
966.0,502.0
970.0,467.0
981.0,451.0
977.0,440.0
975.0,433.0
966.0,432.0
956.0,440.0
934.0,453.0
908.0,449.0
908.0,463.0
901.0,470.0
891.0,460.0
859.0,451.0
813.0,453.0
819.0,417.0
814.0,387.0
802.0,366.0
819.0,357.0
817.0,353.0
801.0,344.0
766.0,338.0
751.0,363.0
768.0,407.0
750.0,411.0
742.0,406.0
715.0,421.0
711.0,424.0
718.0,422.0
726.0,439.0
699.0,460.0
666.0,493.0
658.0,453.0
635.0,475.0
613.0,476.0
605.0,476.0
598.0,485.0
610.0,501.0
613.0,499.0
668.0,520.0
666.0,524.0
651.0,528.0
646.0,562.0
640.0,564.0
626.0,566.0
606.0,579.0
589.0,561.0
598.0,535.0
588.0,501.0
553.0,558.0
537.0,531.0
513.0,531.0
510.0,563.0
495.0,557.0
474.0,525.0
460.0,489.0
439.0,484.0
452.0,475.0
463.0,450.0
469.0,422.0
504.0,441.0
487.0,441.0
495.0,459.0
505.0,462.0
514.0,487.0
526.0,476.0
547.0,443.0
540.0,458.0
553.0,462.0
568.0,471.0
568.0,479.0
595.0,420.0
616.0,400.0
619.0,396.0
642.0,389.0
649.0,372.0
670.0,372.0
678.0,369.0
696.0,390.0
710.0,387.0
713.0,348.0
703.0,332.0
694.0,319.0
673.0,333.0
661.0,339.0
623.0,352.0
603.0,372.0
592.0,379.0
573.0,375.0
575.0,362.0
535.0,385.0
508.0,367.0
514.0,335.0
520.0,332.0
597.0,291.0
566.0,296.0
541.0,292.0
530.0,282.0
466.0,281.0
448.0,303.0
441.0,330.0
431.0,337.0
430.0,265.0
481.0,259.0
493.0,250.0
522.0,243.0
555.0,238.0
580.0,201.0
579.0,212.0
573.0,214.0
572.0,221.0
574.0,229.0
605.0,244.0
655.0,275.0
658.0,243.0
669.0,252.0
682.0,252.0
704.0,259.0
698.0,275.0
696.0,282.0
682.0,283.0
686.0,291.0
679.0,303.0
718.0,297.0
765.0,278.0
786.0,282.0
782.0,295.0
806.0,285.0
861.0,291.0
870.0,302.0
874.0,320.0
850.0,320.0
846.0,357.0
854.0,360.0
870.0,374.0
882.0,357.0
874.0,338.0
897.0,343.0
904.0,345.0
905.0,345.0
908.0,335.0
911.0,380.0
902.0,387.0
896.0,383.0
897.0,388.0
854.0,395.0
895.0,414.0
907.0,412.0
928.0,407.0
925.0,401.0
913.0,395.0
952.0,391.0
955.0,406.0
994.0,418.0
997.0,566.0
990.0,575.0
974.0,613.0
998.0,637.0
983.0,696.0
987.0,719.0
993.0,734.0
989.0,762.0
972.0,784.0
993.0,804.0
981.0,836.0
997.0,873.0
987.0,900.0
981.0,932.0
969.0,931.0
990.0,952.0
973.0,974.0
987.0,982.0
922.0,963.0
926.0,954.0
909.0,958.0
895.0,923.0
882.0,889.0
918.0,869.0
927.0,855.0
931.0,838.0
926.0,805.0
949.0,759.0
912.0,778.0
894.0,778.0
876.0,772.0
866.0,778.0
902.0,805.0
904.0,800.0
920.0,788.0
834.0,973.0
751.0,997.0
738.0,994.0
741.0,995.0
611.0,991.0
611.0,999.0
597.0,997.0
600.0,981.0
589.0,971.0
562.0,959.0
556.0,976.0
535.0,986.0
550.0,964.0
559.0,915.0
553.0,904.0
550.0,905.0
539.0,901.0
546.0,887.0
545.0,881.0
516.0,864.0
485.0,842.0
510.0,832.0
509.0,822.0
510.0,812.0
538.0,835.0
563.0,871.0
559.0,860.0
575.0,857.0
620.0,871.0
612.0,889.0
595.0,916.0
602.0,923.0
621.0,951.0
637.0,983.0
659.0,978.0
674.0,935.0
694.0,949.0
699.0,956.0
706.0,970.0
718.0,979.0
723.0,958.0
746.0,973.0
747.0,972.0
753.0,921.0
742.0,909.0
723.0,908.0
715.0,895.0
727.0,886.0
700.0,893.0
728.0,843.0
735.0,846.0
752.0,841.0
774.0,857.0
783.0,873.0
788.0,874.0
778.0,880.0
777.0,894.0
771.0,910.0
820.0,907.0
837.0,869.0
850.0,847.0
856.0,837.0
811.0,849.0
807.0,844.0
807.0,837.0
811.0,823.0
823.0,790.0
820.0,788.0
782.0,768.0
777.0,798.0
748.0,785.0
771.0,772.0
717.0,767.0
704.0,778.0
706.0,800.0
722.0,829.0
684.0,837.0
662.0,794.0
678.0,765.0
670.0,736.0
664.0,735.0
625.0,723.0
620.0,779.0
592.0,806.0
585.0,819.0
603.0,845.0
519.0,796.0
481.0,787.0
464.0,786.0
436.0,848.0
440.0,871.0
395.0,886.0
392.0,881.0
403.0,849.0
385.0,834.0
340.0,850.0
349.0,866.0
333.0,882.0
312.0,868.0
367.0,916.0
351.0,930.0
350.0,932.0
349.0,951.0
364.0,954.0
365.0,946.0
386.0,943.0
391.0,924.0
399.0,922.0
421.0,941.0
432.0,926.0
438.0,918.0
458.0,904.0
472.0,905.0
499.0,921.0
506.0,924.0
488.0,944.0
458.0,974.0
456.0,991.0
432.0,975.0
425.0,986.0
408.0,969.0
380.0,977.0
374.0,978.0
368.0,984.0
353.0,967.0
340.0,963.0
318.0,976.0
324.0,993.0
309.0,994.0
285.0,990.0
259.0,993.0
250.0,997.0
165.0,986.0
154.0,984.0
97.0,979.0
106.0,955.0
109.0,938.0
116.0,935.0
125.0,934.0
132.0,940.0
134.0,926.0
110.0,899.0
108.0,881.0
130.0,832.0
103.0,808.0
81.0,838.0
57.0,871.0
57.0,908.0
79.0,918.0
90.0,929.0
98.0,924.0
97.0,947.0
83.0,960.0
65.0,959.0
67.0,986.0
20.0,983.0
18.0,966.0
16.0,926.0
20.0,926.0
25.0,911.0
31.0,879.0
32.0,842.0
5.0,846.0
27.0,805.0
33.0,806.0
28.0,797.0
16.0,761.0
17.0,757.0
50.0,766.0
83.0,773.0
105.0,753.0
140.0,795.0
156.0,785.0
165.0,732.0
257.0,776.0
254.0,786.0
226.0,780.0
199.0,785.0
233.0,807.0
207.0,842.0
168.0,835.0
147.0,860.0
153.0,855.0
172.0,879.0
210.0,905.0
185.0,920.0
192.0,927.0
202.0,927.0
211.0,939.0
197.0,950.0
217.0,970.0
229.0,984.0
240.0,969.0
259.0,945.0
257.0,928.0
258.0,885.0
239.0,856.0
238.0,850.0
237.0,848.0
276.0,827.0
288.0,835.0
301.0,841.0
314.0,832.0
308.0,804.0
338.0,809.0
328.0,802.0
305.0,792.0
255.0,768.0
265.0,753.0
274.0,751.0
273.0,748.0
305.0,728.0
325.0,749.0
354.0,770.0
355.0,766.0
359.0,753.0
378.0,794.0
388.0,806.0
391.0,809.0
411.0,809.0
425.0,801.0
404.0,781.0
402.0,779.0
392.0,760.0
413.0,750.0
413.0,701.0
374.0,709.0
350.0,709.0
